"","Photo","gs","Starch","NSC","SM","fluor","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10"
"157","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(3.3,4.32]","(11.9,20.7]","[0.706,0.764]","0","0","-1","-1","-1","-1","0","-1","-1","-1"
"158","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(3.3,4.32]","(20.7,29.6]","[0.706,0.764]","0","1","-1","-1","-1","0","1","-1","-1","-1"
"159","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(11.9,20.7]","[0.706,0.764]","0","1","-1","-1","-1","0","1","-1","-1","-1"
"160","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(3.3,4.32]","(20.7,29.6]","[0.706,0.764]","0","1","-1","-1","-1","0","1","0","-1","-1"
"161","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(4.32,5.34]","(11.9,20.7]","[0.706,0.764]","0","1","-1","-1","-1","1","1","0","-1","0"
"162","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(3.3,4.32]","(20.7,29.6]","[0.706,0.764]","0","1","-1","-1","-1","1","1","0","-1","0"
"163","(5.33,10]","(0.406,0.538]","[1.89,21.1]","(3.3,4.32]","(20.7,29.6]","[0.706,0.764]","0","1","-1","-1","-1","1","1","0","-1","0"
"164","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(4.32,5.34]","(11.9,20.7]","[0.706,0.764]","1","1","-1","-1","-1","1","1","0","-1","0"
"165","(0.638,5.33]","(0.142,0.274]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","1","-1","0","-1","1","1","1","-1","0"
"166","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(4.32,5.34]","(20.7,29.6]","[0.706,0.764]","1","1","0","0","0","1","1","1","-1","0"
"167","(0.638,5.33]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","1","0","0","0","1","1","1","-1","1"
"168","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(3.3,4.32]","(20.7,29.6]","[0.706,0.764]","1","1","0","0","1","1","1","1","-1","1"
"145","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","-1","0","-1","-1","-1","0","0","-1","-1","-1"
"146","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","-1","0","-1","-1","-1","0","1","-1","-1","-1"
"147","(5.33,10]","(0.274,0.406]","(40.1,59.2]","(1.27,2.29]","(29.6,38.4]","[0.706,0.764]","0","0","-1","-1","-1","0","1","-1","-1","-1"
"148","(5.33,10]","(0.406,0.538]","[1.89,21.1]","(4.32,5.34]","(29.6,38.4]","[0.706,0.764]","0","1","0","-1","-1","0","1","-1","-1","-1"
"149","(5.33,10]","[0.00895,0.142]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","0","1","0","-1","-1","1","1","0","-1","-1"
"150","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","0","1","0","-1","-1","1","1","0","-1","-1"
"151","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(38.4,47.2]","[0.706,0.764]","0","1","0","-1","-1","1","1","0","-1","0"
"152","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(38.4,47.2]","[0.706,0.764]","0","1","0","-1","0","1","1","0","-1","0"
"153","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","0","1","1","-1","0","1","1","0","-1","0"
"154","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(1.27,2.29]","(38.4,47.2]","[0.706,0.764]","0","1","1","0","0","1","1","0","-1","0"
"155","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(38.4,47.2]","[0.706,0.764]","1","1","1","0","0","1","1","1","-1","0"
"156","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(38.4,47.2]","[0.706,0.764]","1","1","1","0","1","1","1","1","-1","1"
"181","(10,14.7]","(0.538,0.671]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","-1","-1","-1","-1","-1","0","-1","-1","-1"
"182","(14.7,19.4]","(0.538,0.671]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.337,0.706)","1","0","-1","0","-1","-1","0","-1","-1","-1"
"183","(14.7,19.4]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","0","-1","0","-1","-1","0","-1","-1","-1"
"184","(14.7,19.4]","(0.538,0.671]","[1.89,21.1]","(1.27,2.29]","(11.9,20.7]","[0.706,0.764]","1","0","-1","0","-1","-1","0","0","-1","0"
"185","(14.7,19.4]","(0.538,0.671]","[1.89,21.1]","(1.27,2.29]","[3.06,11.9]","[0.706,0.764]","1","0","-1","1","-1","-1","1","0","-1","1"
"186","(14.7,19.4]","(0.406,0.538]","(21.1,40.1]","(1.27,2.29]","(20.7,29.6]","[0.706,0.764]","1","1","-1","1","-1","-1","1","0","0","1"
"187","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","1","-1","1","-1","0","1","0","0","1"
"188","(14.7,19.4]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(11.9,20.7]","[0.706,0.764]","1","1","-1","1","-1","0","1","1","0","1"
"189","(14.7,19.4]","(0.538,0.671]","[1.89,21.1]","(2.29,3.3]","(11.9,20.7]","[0.337,0.706)","1","1","-1","1","-1","0","1","1","0","1"
"190","(10,14.7]","(0.142,0.274]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","1","-1","1","-1","0","1","1","0","1"
"191","(5.33,10]","(0.406,0.538]","[1.89,21.1]","(1.27,2.29]","(20.7,29.6]","[0.706,0.764]","1","1","-1","1","-1","0","1","1","0","1"
"192","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","1","-1","1","0","1","1","1","1","1"
"169","(14.7,19.4]","(0.538,0.671]","[1.89,21.1]","(2.29,3.3]","(38.4,47.2]","[0.706,0.764]","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"170","(14.7,19.4]","(0.538,0.671]","[1.89,21.1]","(1.27,2.29]","(29.6,38.4]","[0.706,0.764]","0","-1","-1","0","-1","-1","0","-1","-1","0"
"171","(14.7,19.4]","(0.406,0.538]","[1.89,21.1]","[0.254,1.27]","(29.6,38.4]","[0.337,0.706)","0","0","-1","0","-1","-1","0","-1","-1","0"
"172","(14.7,19.4]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.337,0.706)","0","0","-1","0","-1","-1","0","-1","-1","0"
"173","(14.7,19.4]","(0.406,0.538]","[1.89,21.1]","(3.3,4.32]","(29.6,38.4]","[0.706,0.764]","1","0","-1","0","-1","-1","0","-1","-1","1"
"174","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","1","0","-1","0","-1","0","1","0","-1","1"
"175","(10,14.7]","(0.538,0.671]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","1","0","-1","0","-1","0","1","0","0","1"
"176","(10,14.7]","(0.538,0.671]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","1","0","-1","1","-1","0","1","0","0","1"
"177","(5.33,10]","(0.538,0.671]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.337,0.706)","1","1","0","1","-1","0","1","0","0","1"
"178","(10,14.7]","(0.538,0.671]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","1","1","0","1","-1","0","1","1","0","1"
"179","(10,14.7]","(0.538,0.671]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","1","1","0","1","-1","0","1","1","0","1"
"180","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","1","1","1","0","1","1","1","0","1"
"205","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.337,0.706)","0","-1","-1","-1","-1","-1","-1","-1","0","-1"
"206","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.337,0.706)","0","-1","-1","0","-1","-1","-1","0","0","0"
"207","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(11.9,20.7]","[0.337,0.706)","1","-1","-1","0","-1","-1","-1","0","0","0"
"208","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(1.27,2.29]","(11.9,20.7]","[0.337,0.706)","1","0","-1","0","-1","-1","-1","1","0","0"
"209","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(11.9,20.7]","[0.706,0.764]","1","0","-1","1","-1","-1","-1","1","0","1"
"210","(10,14.7]","(0.142,0.274]","(21.1,40.1]","(2.29,3.3]","(11.9,20.7]","[0.337,0.706)","1","0","-1","1","-1","-1","0","1","1","1"
"211","(0.638,5.33]","[0.00895,0.142]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.337,0.706)","1","0","-1","1","0","-1","0","1","1","1"
"212","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(11.9,20.7]","[0.337,0.706)","1","0","-1","1","0","-1","0","1","1","1"
"213","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(1.27,2.29]","[3.06,11.9]","[0.706,0.764]","1","1","-1","1","0","-1","0","1","1","1"
"214","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(11.9,20.7]","[0.706,0.764]","1","1","-1","1","0","0","0","1","1","1"
"215","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(11.9,20.7]","[0.337,0.706)","1","1","-1","1","1","0","0","1","1","1"
"216","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","[3.06,11.9]","[0.706,0.764]","1","1","0","1","1","0","1","1","1","1"
"193","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(1.27,2.29]","(29.6,38.4]","[0.337,0.706)","0","-1","-1","0","-1","-1","-1","-1","0","0"
"194","(5.33,10]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","0","-1","-1","0","-1","-1","-1","0","0","0"
"195","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","0","-1","-1","0","-1","-1","-1","0","0","1"
"196","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","0","-1","-1","1","-1","-1","-1","0","1","1"
"197","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","0","0","-1","1","0","-1","-1","0","1","1"
"198","(5.33,10]","(0.142,0.274]","[1.89,21.1]","(1.27,2.29]","(29.6,38.4]","[0.706,0.764]","1","0","0","1","0","-1","-1","0","1","1"
"199","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","1","0","0","1","0","-1","-1","1","1","1"
"200","(5.33,10]","(0.142,0.274]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","1","0","0","1","0","-1","-1","1","1","1"
"201","(5.33,10]","(0.142,0.274]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","1","0","0","1","0","-1","0","1","1","1"
"202","(5.33,10]","(0.142,0.274]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","1","0","0","1","0","0","0","1","1","1"
"203","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(38.4,47.2]","[0.337,0.706)","1","1","0","1","0","0","0","1","1","1"
"204","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","1","1","1","1","1","0","0","1","1","1"
"229","(10,14.7]","(0.142,0.274]","(21.1,40.1]","(1.27,2.29]","(11.9,20.7]","[0.706,0.764]","0","0","-1","-1","-1","-1","-1","-1","-1","-1"
"230","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(1.27,2.29]","(11.9,20.7]","[0.337,0.706)","0","0","-1","-1","-1","-1","-1","-1","0","-1"
"231","(10,14.7]","(0.274,0.406]","(40.1,59.2]","(1.27,2.29]","(11.9,20.7]","[0.706,0.764]","0","0","-1","0","-1","-1","-1","-1","0","-1"
"232","(5.33,10]","(0.406,0.538]","(21.1,40.1]","(1.27,2.29]","(11.9,20.7]","[0.337,0.706)","0","1","-1","0","0","-1","-1","0","0","-1"
"233","(10,14.7]","(0.274,0.406]","(40.1,59.2]","(1.27,2.29]","(11.9,20.7]","[0.706,0.764]","1","1","-1","0","0","-1","0","0","0","-1"
"234","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(1.27,2.29]","(11.9,20.7]","[0.337,0.706)","1","1","-1","0","0","-1","0","0","0","-1"
"235","(10,14.7]","(0.142,0.274]","[1.89,21.1]","(2.29,3.3]","(11.9,20.7]","[0.337,0.706)","1","1","-1","1","0","-1","0","0","1","0"
"236","(5.33,10]","(0.142,0.274]","[1.89,21.1]","(2.29,3.3]","(11.9,20.7]","[0.337,0.706)","1","1","-1","1","0","-1","0","1","1","0"
"237","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(11.9,20.7]","[0.337,0.706)","1","1","-1","1","0","0","0","1","1","0"
"238","(5.33,10]","(0.142,0.274]","[1.89,21.1]","(1.27,2.29]","(11.9,20.7]","[0.337,0.706)","1","1","-1","1","1","0","1","1","1","0"
"239","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(1.27,2.29]","[3.06,11.9]","[0.337,0.706)","1","1","0","1","1","0","1","1","1","0"
"240","(0.638,5.33]","[0.00895,0.142]","[1.89,21.1]","(1.27,2.29]","(11.9,20.7]","[0.337,0.706)","1","1","0","1","1","0","1","1","1","1"
"217","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(3.3,4.32]","(20.7,29.6]","[0.337,0.706)","0","0","-1","0","-1","-1","-1","-1","0","-1"
"218","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(3.3,4.32]","(29.6,38.4]","[0.706,0.764]","0","0","-1","0","-1","-1","-1","-1","0","-1"
"219","(10,14.7]","(0.406,0.538]","(40.1,59.2]","(3.3,4.32]","(29.6,38.4]","[0.706,0.764]","0","0","-1","0","0","-1","-1","-1","1","-1"
"220","(5.33,10]","(0.274,0.406]","(40.1,59.2]","(3.3,4.32]","(38.4,47.2]","[0.706,0.764]","0","1","-1","0","0","-1","-1","-1","1","-1"
"221","(5.33,10]","(0.142,0.274]","(40.1,59.2]","(2.29,3.3]","(38.4,47.2]","[0.337,0.706)","0","1","-1","1","0","-1","-1","-1","1","-1"
"222","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(3.3,4.32]","(38.4,47.2]","[0.337,0.706)","0","1","-1","1","0","-1","-1","0","1","0"
"223","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(3.3,4.32]","(29.6,38.4]","[0.706,0.764]","1","1","-1","1","0","-1","-1","0","1","0"
"224","(10,14.7]","(0.538,0.671]","(21.1,40.1]","(3.3,4.32]","(29.6,38.4]","[0.706,0.764]","1","1","0","1","0","-1","0","0","1","0"
"225","(10,14.7]","(0.406,0.538]","(40.1,59.2]","(3.3,4.32]","(38.4,47.2]","[0.337,0.706)","1","1","0","1","1","0","0","0","1","0"
"226","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(3.3,4.32]","(29.6,38.4]","[0.706,0.764]","1","1","0","1","1","0","0","1","1","0"
"227","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(3.3,4.32]","(29.6,38.4]","[0.706,0.764]","1","1","0","1","1","0","0","1","1","0"
"228","(10,14.7]","(0.142,0.274]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","1","1","1","1","1","1","1","1","1","1"
"253","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(1.27,2.29]","[3.06,11.9]","0.000","-1","-1","-1","-1","-1","-1","-1","-1","0","-1"
"254","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(1.27,2.29]","[3.06,11.9]","0.000","-1","-1","-1","-1","0","-1","-1","-1","0","-1"
"255","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(1.27,2.29]","(11.9,20.7]","0.000","-1","-1","0","-1","0","0","-1","-1","0","-1"
"256","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(2.29,3.3]","(11.9,20.7]","0.000","-1","-1","0","-1","0","0","-1","-1","0","-1"
"257","[-4.07,0.638]","[0.00895,0.142]","(59.2,78.3]","(1.27,2.29]","[3.06,11.9]","0.000","-1","-1","0","0","1","0","-1","0","0","-1"
"258","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(1.27,2.29]","(11.9,20.7]","0.000","-1","-1","0","0","1","0","-1","0","0","-1"
"259","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(1.27,2.29]","(11.9,20.7]","0.000","-1","-1","0","0","1","0","0","1","0","0"
"260","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(1.27,2.29]","(11.9,20.7]","0.000","-1","-1","0","0","1","0","0","1","1","0"
"261","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(1.27,2.29]","(20.7,29.6]","0.000","-1","-1","1","0","1","1","0","1","1","0"
"262","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(1.27,2.29]","(11.9,20.7]","0.000","-1","0","1","0","1","1","0","1","1","0"
"263","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(1.27,2.29]","(11.9,20.7]","0.000","-1","0","1","0","1","1","0","1","1","0"
"264","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(2.29,3.3]","[3.06,11.9]","0.000","0","0","1","1","1","1","1","1","1","1"
"241","[-4.07,0.638]","[0.00895,0.142]","(59.2,78.3]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","-1","-1","0","-1","-1","-1","0","-1"
"242","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","0","-1","0","0","-1","-1","0","-1"
"243","[-4.07,0.638]","[0.00895,0.142]","(40.1,59.2]","(3.3,4.32]","(29.6,38.4]","0.000","-1","-1","0","-1","0","0","-1","-1","0","-1"
"244","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","0","-1","1","0","-1","0","0","-1"
"245","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","0","0","1","0","-1","0","0","0"
"246","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","0","0","1","0","-1","0","0","0"
"247","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","1","0","1","0","-1","0","0","0"
"248","[-4.07,0.638]","(0.142,0.274]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","0.000","-1","0","1","0","1","1","-1","0","1","0"
"249","[-4.07,0.638]","[0.00895,0.142]","(40.1,59.2]","(2.29,3.3]","(29.6,38.4]","0.000","-1","0","1","0","1","1","0","1","1","0"
"250","[-4.07,0.638]","(0.142,0.274]","[1.89,21.1]","(3.3,4.32]","(29.6,38.4]","0.000","-1","0","1","0","1","1","0","1","1","0"
"251","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","0.000","0","0","1","0","1","1","0","1","1","1"
"252","[-4.07,0.638]","[0.00895,0.142]","(40.1,59.2]","(3.3,4.32]","(29.6,38.4]","0.000","0","1","1","1","1","1","0","1","1","1"
"277","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(2.29,3.3]","[3.06,11.9]","0.000","-1","-1","-1","-1","-1","0","-1","0","-1","-1"
"278","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(1.27,2.29]","(11.9,20.7]","0.000","-1","-1","-1","-1","0","0","-1","0","-1","-1"
"279","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(1.27,2.29]","(11.9,20.7]","0.000","-1","-1","-1","-1","0","0","0","0","-1","-1"
"280","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(1.27,2.29]","(11.9,20.7]","0.000","-1","0","-1","-1","0","1","0","1","-1","-1"
"281","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(1.27,2.29]","(11.9,20.7]","0.000","-1","0","0","-1","0","1","0","1","-1","-1"
"282","[-4.07,0.638]","(0.142,0.274]","[1.89,21.1]","(1.27,2.29]","(11.9,20.7]","0.000","-1","0","0","-1","0","1","0","1","-1","-1"
"283","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(1.27,2.29]","[3.06,11.9]","0.000","-1","0","0","-1","1","1","1","1","-1","0"
"284","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(1.27,2.29]","[3.06,11.9]","0.000","-1","0","0","-1","1","1","1","1","-1","0"
"285","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(1.27,2.29]","(11.9,20.7]","0.000","-1","1","0","-1","1","1","1","1","-1","0"
"286","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(1.27,2.29]","[3.06,11.9]","0.000","0","1","1","-1","1","1","1","1","0","0"
"287","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(1.27,2.29]","(11.9,20.7]","0.000","0","1","1","0","1","1","1","1","0","0"
"288","[-4.07,0.638]","[0.00895,0.142]","(40.1,59.2]","[0.254,1.27]","(11.9,20.7]","0.000","0","1","1","0","1","1","1","1","0","1"
"265","[-4.07,0.638]","(0.142,0.274]","(40.1,59.2]","[0.254,1.27]","(29.6,38.4]","0.000","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"266","[-4.07,0.638]","[0.00895,0.142]","(40.1,59.2]","[0.254,1.27]","(29.6,38.4]","0.000","-1","-1","0","-1","0","0","-1","-1","-1","-1"
"267","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","0","-1","0","0","0","-1","-1","-1"
"268","[-4.07,0.638]","[0.00895,0.142]","(78.3,97.4]","[0.254,1.27]","(29.6,38.4]","0.000","-1","-1","0","-1","0","0","0","-1","-1","-1"
"269","[-4.07,0.638]","[0.00895,0.142]","(40.1,59.2]","[0.254,1.27]","(29.6,38.4]","0.000","-1","-1","1","-1","1","1","0","0","0","-1"
"270","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","[0.254,1.27]","(20.7,29.6]","0.000","-1","0","1","-1","1","1","0","0","0","-1"
"271","[-4.07,0.638]","(0.142,0.274]","(40.1,59.2]","[0.254,1.27]","(20.7,29.6]","0.000","-1","0","1","-1","1","1","0","0","0","-1"
"272","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","[0.254,1.27]","(29.6,38.4]","0.000","-1","0","1","0","1","1","0","0","0","-1"
"273","[-4.07,0.638]","(0.142,0.274]","(21.1,40.1]","[0.254,1.27]","(29.6,38.4]","0.000","-1","0","1","0","1","1","0","1","0","0"
"274","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","[0.254,1.27]","(29.6,38.4]","0.000","-1","1","1","0","1","1","1","1","0","0"
"275","[-4.07,0.638]","(0.142,0.274]","(40.1,59.2]","[0.254,1.27]","(29.6,38.4]","0.000","-1","1","1","0","1","1","1","1","1","0"
"276","[-4.07,0.638]","(0.142,0.274]","[1.89,21.1]","(1.27,2.29]","(29.6,38.4]","0.000","0","1","1","1","1","1","1","1","1","0"
