"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1","Bra031705","Bra009396,Bra009397,Bra009398","Bra002422","Bra016226","Bra013225","Bra037731","Bra008406","Bra022736","Bra007020","Bra003184,Bra003186","Bra019212,Bra019213","Bra006048","Bra005682,Bra005683","Bra006233","Bra011076","Bra021810,Bra021811,Bra021812","Bra036146","Bra002645,tRNA-Ser","Bra023673","Bra028992","Bra029857","Bra005441","Bra001925","Bra030805,Bra030806","Bra018759","Bra000483","Bra011134","Bra000901","Bra024290,Bra024291,Bra024292,Bra024293,Bra024294","Bra030031","Bra007131","Bra027754","Bra013950","Bra013156","Bra035281","Bra002630","Bra007283","Bra006748","Bra011488","Bra020599","Bra006710,Bra006711,Bra006712,Bra006713,Bra006714","Bra014730","Bra013924","Bra023023","Bra027355,Bra027356","Bra033879","Bra001934","Bra036992","Bra038600","Bra015319","Bra016007,Bra016008,Bra016009,Bra016010","Bra005476","Bra031705","Bra027110,Bra027111","Bra016481,Bra016482","Bra002422","Bra028543","Bra007070","Bra018435","Bra039057","Bra017546","Bra028940","Bra034556","Bra014037","Bra036840,Bra036841","Bra002715,Bra002716","Bra000875,Bra000876","Bra010816,Bra010817","Bra013225","Bra016974","Bra027035","Bra037731","Bra008406","Bra036155","Bra022736","Bra023365","Bra033255","Bra036730","Bra003184,Bra003186","Bra009410"
"2","Bra005476","Bra014436","Bra030922","Bra021067","Bra016974","Bra041123","Bra030808","Bra023365","Bra000587","Bra009410","Bra010283","Bra034063","Bra014865","Bra006456","Bra026415","Bra022908","Bra028357","Bra009968","Bra009758","Bra033199","Bra004355","Bra021898,Bra021899","Bra003942","Bra008699","Bra016402","Bra002273","Bra033493","Bra006536","Bra028689,tRNA-Leu","Bra000294","Bra003841","Bra013155","Bra005003","Bra026334","Bra037475","Bra029472,Bra029473","Bra039713,Bra039714","Bra004850","Bra020040","Bra034989","Bra000739","Bra029614,Bra029615","Bra040100","Bra022505","Bra030587","Bra021990","Bra030885","Bra039311,Bra039312,Bra039314,Bra039315","Bra001306","Bra005635","Bra036585",NA,"Bra021658,Bra021659,Bra021660",NA,"Bra010126",NA,"Bra030922","Bra028963","Bra028975","Bra018595","Bra008003","Bra029859","Bra004771","Bra019626","Bra011016","Bra013863","Bra006700","Bra000382",NA,"Bra020430",NA,"Bra041123",NA,"Bra012519,Bra038811",NA,"Bra033275,Bra033276",NA,"Bra017672",NA,NA
"3","Bra037080","Bra027110,Bra027111","Bra028543","Bra019626","Bra020430","Bra019784","Bra005974","Bra033275,Bra033276","Bra033255",NA,"Bra025547","Bra001114","Bra020082","Bra031165","Bra008876","Bra032548","Bra040573","Bra013957","Bra024615","Bra006633","Bra017684","Bra013069","Bra019718","Bra019539","Bra038899","Bra003486,Bra003487","Bra012054","Bra003053",NA,"Bra040771","Bra032284","Bra014870","Bra005531","Bra006215","Bra004528","Bra026474","Bra013132","Bra013223,Bra013224","Bra010085","Bra027736","Bra013171","Bra010483","Bra036908","Bra003716","Bra032166","Bra018184","Bra001788","Bra029071","Bra039041","Bra008824,Bra008825,Bra008826","Bra006053",NA,"Bra021826",NA,"Bra019384",NA,"Bra033999","Bra009789,Bra009790","Bra007220,Bra007221","Bra014389","Bra018616","Bra018030","Bra019686,Bra019688,Bra019689,Bra019690","Bra004101","Bra005329","Bra014252","Bra040899","Bra038040",NA,"Bra005168",NA,"Bra011556,Bra011557,Bra011558",NA,"Bra018955",NA,"Bra016557",NA,"Bra008785",NA,NA
"4","Bra021658,Bra021659,Bra021660","Bra016481,Bra016482","Bra033999","Bra000391","Bra027049","Bra027035","Bra002975","Bra016557","Bra036730",NA,"Bra031041,Bra031042,Bra031044","Bra031648,Bra031649","Bra025511,Bra025512,Bra025513","Bra021037","Bra025858","Bra010681","Bra001848","Bra040417",NA,"Bra022234","Bra001372","Bra005546","Bra026043","Bra029099","Bra013805","Bra031084,Bra031085","Bra024000,Bra024002,Bra024003","Bra004244",NA,NA,"Bra018876","Bra005064","Bra009330,Bra009331","Bra010124","Bra016471","Bra036321","Bra033389","Bra020980","Bra024214","Bra037358","Bra018232","Bra013563","Bra002710","Bra013430","Bra019560","Bra029591","Bra039865","Bra024320,Bra024321","Bra012667,Bra012694","Bra008030","Bra026126",NA,"Bra010339",NA,"Bra027278",NA,NA,"Bra028404","Bra002106","Bra009998","Bra029256","Bra005341,Bra005342","Bra013540","Bra016226","Bra022836","Bra022884","Bra039216","Bra037160",NA,"Bra027049",NA,"Bra009243,Bra009244",NA,"Bra015520",NA,"Bra033973",NA,"Bra016198,Bra016199",NA,NA
"5","Bra016153","Bra010126",NA,"Bra004101","Bra005168","Bra009243,Bra009244","Bra027972,Bra027973","Bra033973","Bra017672",NA,"Bra036325,Bra036326,Bra036327","Bra027093,Bra027094","Bra038233","Bra039578","Bra019733","Bra002804","Bra040630","Bra039936",NA,"Bra028474","Bra004562","Bra015665","Bra022600","Bra027527,Bra027528","Bra039661","Bra016016,Bra016017","Bra020036",NA,NA,NA,"Bra001618","Bra027196","Bra011148,Bra011150","Bra012724","Bra028875","Bra027456","Bra011116",NA,"Bra026231","Bra018695",NA,"Bra037215","Bra032196","Bra014195","Bra024531","Bra009292","Bra019994","Bra035881","Bra007930","Bra033491","Bra028666",NA,"Bra021419,Bra021420",NA,"Bra039094",NA,NA,"Bra002917,Bra002918","Bra004400","Bra013786,Bra013788","Bra037696","Bra015061","Bra033774,Bra033775","Bra002255","Bra001317","Bra026638","Bra013445","Bra031939,Bra031940",NA,"Bra014550",NA,"Bra019784",NA,"Bra030843",NA,"Bra037411",NA,"Bra014853",NA,NA
"6","Bra021826","Bra016502",NA,"Bra014291","Bra014550","Bra011556,Bra011557,Bra011558","Bra036155","Bra037411","Bra016198,Bra016199",NA,"Bra020836","Bra028740","Bra024186,Bra024187","Bra033757","Bra013582","Bra007047","Bra011047","Bra013906",NA,"Bra000769","Bra028754","Bra029307,Bra029308","Bra032192","Bra005306","Bra025262","Bra011536","Bra023164",NA,NA,NA,"Bra023392","Bra007462","Bra027961,Bra027962","Bra006482","Bra018828","Bra004834,Bra004835,Bra004836","Bra036823",NA,"Bra003062","Bra015594",NA,"Bra001009","Bra030622","Bra019908","Bra027792,Bra027793","Bra006289","Bra030561","Bra005371","Bra029780","Bra018689","Bra019115",NA,"Bra000302,Bra000303",NA,"Bra012222,Bra012225",NA,NA,"Bra009670","Bra040285","Bra014046","Bra026185,Bra026186","Bra037787","Bra007329,Bra007330,Bra007331","Bra009368","Bra013693","Bra011541","Bra021634,tRNA-Gly","Bra006623",NA,"Bra034404",NA,"Bra003434",NA,"Bra003355",NA,NA,NA,"Bra012303",NA,NA
"7","Bra029966","Bra040955",NA,"Bra036593","Bra034404","Bra033422","Bra030843",NA,"Bra038165",NA,"Bra021579","Bra033958","Bra034873","Bra015798,Bra015799","Bra040403","Bra013053","Bra002191","Bra029045,Bra029046",NA,"Bra005598","Bra037651","Bra012696","Bra023619","Bra009351","Bra017081","Bra015237","Bra008627",NA,NA,NA,"Bra040932","Bra022147","Bra003504","Bra037476","Bra033981","Bra027302,Bra027306,Bra027307",NA,NA,"Bra020051","Bra019928",NA,"Bra035067","Bra021314","Bra038649,Bra038650","Bra023688","Bra035819,Bra035820","Bra034356","Bra009004","Bra018549","Bra036625","Bra011515",NA,"Bra029966",NA,"Bra040955",NA,NA,"Bra010616","Bra034364","Bra000616,Bra000617","Bra003241,Bra003242","Bra032551","Bra017633","Bra013507","Bra000741","Bra030727,Bra030760,Bra030763","Bra016252,Bra016253","Bra009434",NA,NA,NA,"Bra004247,Bra004248",NA,"Bra010808",NA,NA,NA,"Bra009600",NA,NA
"8","Bra014493","Bra012222,Bra012225",NA,"Bra002023",NA,"Bra003434","Bra018955",NA,"Bra012303",NA,"Bra040801","Bra010983","Bra014044","Bra004782","Bra039174,Bra039175","Bra001177","Bra027938",NA,NA,"Bra019940","Bra023575","Bra013774","Bra011921","Bra016809,Bra016810","Bra019154","Bra000240","Bra000538",NA,NA,NA,"Bra001415","Bra012812","Bra023435","Bra037669","Bra033249","Bra022598",NA,NA,"Bra002703",NA,NA,"Bra009609,Bra009610","Bra039925","Bra029362,Bra029363","Bra018039","Bra014081","Bra001297","Bra018681","Bra022114","Bra005820","Bra033871",NA,"Bra037080",NA,"Bra022503",NA,NA,"Bra016835,Bra016836","Bra020005","Bra004675","Bra038942","Bra001104","Bra002839,Bra002840","Bra021067","Bra037655","Bra008517","Bra021170","Bra034037,Bra034039,Bra034040",NA,NA,NA,"Bra022938",NA,"Bra017920,Bra017921",NA,NA,NA,"Bra035864",NA,NA
"9","Bra000302,Bra000303","Bra019384",NA,"Bra011500",NA,"Bra022938","Bra015520",NA,"Bra025271",NA,NA,"Bra012244","Bra030319","Bra007174","Bra006778","Bra014229",NA,NA,NA,"Bra033612,Bra033613","Bra012099,Bra012100","Bra023110","Bra004118","Bra019147","Bra017436","Bra024819,Bra024820,Bra024821","Bra031296",NA,NA,NA,"Bra025958","Bra016752","Bra003024","Bra005601","Bra031802","Bra021384",NA,NA,"Bra025461",NA,NA,"Bra013931","Bra007840","Bra001501","Bra022923","Bra027911","Bra028189","Bra018137","Bra018454","Bra033311","Bra026128",NA,"Bra000711",NA,"Bra024312",NA,NA,"Bra028796","Bra005258","Bra026917","Bra039648","Bra029000","Bra029107","Bra007768,Bra007769",NA,"Bra006332,Bra006333","Bra019870","Bra014674,Bra014675",NA,NA,NA,"Bra011703",NA,"Bra032344",NA,NA,NA,"Bra025271",NA,NA
"10","Bra021419,Bra021420","Bra027278",NA,"Bra014903",NA,"Bra018573","Bra003355",NA,"Bra006360",NA,NA,"Bra018006","Bra038081,Bra038082,Bra038083","Bra000384","Bra023704",NA,NA,NA,NA,"Bra012154","Bra035608","Bra015047","Bra007924","Bra012747","Bra031413","Bra030540","Bra037191",NA,NA,NA,"Bra033438","Bra019492,Bra019493","Bra012152","Bra013576","Bra014689","Bra005817",NA,NA,"Bra019792",NA,NA,NA,"Bra024547","Bra015065","Bra004066","Bra006626","Bra030879","Bra037984","Bra013804","Bra015131","Bra013239",NA,"Bra014493",NA,"Bra004937,Bra004938",NA,NA,"Bra029922","Bra038389","Bra035168","Bra037799","Bra007181","Bra018543","Bra003239",NA,NA,"Bra038610,Bra038611,tRNA-Thr","Bra018085",NA,NA,NA,"Bra033422",NA,"Bra005974",NA,NA,NA,"Bra006360",NA,NA
"11","Bra010339","Bra033706",NA,"Bra019122",NA,"Bra004247,Bra004248","Bra012519,Bra038811",NA,"Bra035848",NA,NA,"Bra004604","Bra000777","Bra022288","Bra032137",NA,NA,NA,NA,"Bra031290","Bra001348,Bra001349","Bra035913","Bra000207","Bra027032,Bra027033","Bra025865","Bra010510","Bra008842",NA,NA,NA,"Bra013869","Bra002665","Bra005809","Bra011469","Bra007776,Bra007777","Bra012809",NA,NA,"Bra019433",NA,NA,NA,"Bra019307","Bra033713,Bra033714","Bra004267","Bra004722","Bra006338","Bra019634,Bra019635","Bra011794,Bra011795","Bra026477",NA,NA,"Bra016153",NA,"Bra017625",NA,NA,"Bra008747","Bra002258","Bra021292","Bra023430","Bra035565","Bra014842","Bra012871",NA,NA,"Bra033467","Bra035244",NA,NA,NA,"Bra009107,Bra009108",NA,"Bra002975",NA,NA,NA,"Bra003034",NA,NA
"12","Bra000711","Bra039708",NA,"Bra034432",NA,"Bra009107,Bra009108","Bra010808",NA,"Bra003034",NA,NA,"Bra003527","Bra038091,Bra038092","Bra005798","Bra000024",NA,NA,NA,NA,"Bra011606","Bra019072,Bra019075","Bra027936","Bra034608,Bra034609,Bra034610","Bra013436","Bra011250","Bra021079","Bra023432",NA,NA,NA,"Bra018544","Bra018264","Bra037380","Bra029073","Bra023597,Bra023599","Bra009001",NA,NA,"Bra033837",NA,NA,NA,"Bra025671","Bra028849","Bra012364","Bra030045,snoR74","Bra003427,Bra003428","Bra011568","Bra040120","Bra036618",NA,NA,"Bra006515",NA,"Bra006538",NA,NA,"Bra002561","Bra016123","Bra024701","Bra039612","Bra024794","Bra000310","Bra014291",NA,NA,"Bra038281","Bra002567,Bra002568",NA,NA,NA,"Bra018573",NA,"Bra027972,Bra027973",NA,NA,NA,"Bra035848",NA,NA
"13","Bra006515","Bra022503",NA,"Bra036316",NA,"Bra000460","Bra017920,Bra017921",NA,"Bra028766,Bra028767",NA,NA,"Bra000885",NA,"Bra033224","Bra013881,Bra013882,Bra013883",NA,NA,NA,NA,"Bra039362","Bra028414,Bra028415","Bra038166","Bra025363","Bra028011","Bra000394","Bra007738","Bra007608,Bra007609",NA,NA,NA,"Bra012462","Bra023675","Bra028483","Bra000659","Bra008903,Bra008904","Bra025785",NA,NA,"Bra003063",NA,NA,NA,"Bra017267,Bra017268","Bra002220","Bra020949","Bra011664",NA,"Bra010620,Bra010621","Bra039014","Bra032134",NA,NA,"Bra007343",NA,"Bra023072",NA,NA,"Bra025254","Bra007499,Bra007500","Bra022458","Bra008957","Bra006200","Bra002914","Bra017019",NA,NA,"Bra002086","Bra033218",NA,NA,NA,"Bra000460",NA,"Bra030808",NA,NA,NA,"Bra000600",NA,NA
"14","Bra007343","Bra039094",NA,"Bra004537",NA,"Bra024089","Bra032344",NA,"Bra010454",NA,NA,"Bra018112",NA,"Bra029620",NA,NA,NA,NA,NA,"Bra013120,Bra013121","Bra005804",NA,"Bra030762","Bra015301","Bra000955","Bra006413","Bra034297",NA,NA,NA,"Bra019853","Bra036243","Bra025505,Bra025506","Bra009080","Bra008392,Bra008393","Bra027350",NA,NA,"Bra029067",NA,NA,NA,"Bra022804","Bra004188","Bra026905","Bra002483",NA,"Bra021983","Bra035980","Bra009039",NA,NA,NA,NA,"Bra016502",NA,NA,"Bra011546","Bra011770","Bra025838,Bra025839","Bra009352","Bra037068","Bra014635,Bra014636","Bra001662",NA,NA,"Bra003114,Bra003115","Bra001816",NA,NA,NA,"Bra024089",NA,"Bra009184",NA,NA,NA,"Bra018723",NA,NA
"15",NA,"Bra023072",NA,"Bra035574",NA,"Bra029642","Bra018407",NA,"Bra014853",NA,NA,"Bra015456",NA,"Bra028193",NA,NA,NA,NA,NA,"Bra013161","Bra034897",NA,"Bra016259","Bra015654","Bra009771","Bra030316","Bra007241",NA,NA,NA,"Bra040427","Bra014938","Bra027183,Bra027184","Bra000821","Bra019239","Bra020014",NA,NA,"Bra023045",NA,NA,NA,"Bra030082","Bra026253",NA,"Bra030292",NA,"Bra009617","Bra002290,Bra002291","Bra030786",NA,NA,NA,NA,"Bra033706",NA,NA,"Bra019231","Bra002424,Bra002425","Bra007745,Bra007746,Bra007747,Bra007748","Bra030856","Bra035260,Bra035261","Bra003273","Bra037112,Bra037113,Bra037115",NA,NA,"Bra015564","Bra033968",NA,NA,NA,"Bra005929",NA,"Bra031623",NA,NA,NA,"Bra038165",NA,NA
