"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1","Bra011348","Bra019443","Bra031058,Bra031059","Bra003617","Bra014506","Bra033505","Bra003946","Bra040771","Bra041120","Bra005961","Bra027553","Bra030262","Bra019940","Bra003062","Bra030248","Bra027035","Bra012753","Bra035940,Bra035941","Bra013225","Bra013592","Bra029903","Bra030832","Bra026226","Bra003458","Bra037748","Bra002879","Bra001392","Bra017403,Bra017404","Bra005536","Bra020585","Bra007460","Bra011455","Bra016471","Bra005824","Bra034450","Bra036146","Bra005417","Bra023673","Bra018570","Bra000625","Bra033773","Bra027278","Bra006216","Bra001865","Bra011270"
"2","Bra004235","Bra008790","Bra003087","Bra022596","Bra008760","Bra016093","Bra040599","Bra009018,Bra009019,Bra009020","Bra001122","Bra009312","Bra003989","Bra026850","Bra004878","Bra023327","Bra029363","Bra020998","Bra018214","Bra022138","Bra002255","Bra014730","Bra035381","Bra002519","Bra006150","Bra012422","Bra035652","Bra016108","Bra005508","Bra001271,snoR130","Bra000998","Bra030366","Bra028597","Bra020100","Bra014326","Bra001197","Bra015038","Bra004968","Bra005924","Bra018702","Bra006551,Bra006552","Bra010126","Bra036391","Bra009226","Bra001789","Bra036127","Bra037414"
"3","Bra014253","Bra008628","Bra018086","Bra009625","Bra033478","Bra017705","Bra039719","Bra021792","Bra014037","Bra013423","Bra027934","Bra010867","Bra018168","Bra030741","Bra000937","Bra039466","Bra018232","Bra031739","Bra040669","Bra038326","Bra036823","Bra005441","Bra015337","Bra029628","Bra036894,Bra036895,Bra036896","Bra030031","Bra016320","Bra039821","Bra014870","Bra006251","Bra002348","Bra006771","Bra003169,Bra003170","Bra013094","Bra029005","Bra014056","Bra031502","Bra025064","Bra015694","Bra029586","Bra004839","Bra022147","Bra006536","Bra007241","Bra002288"
"4","Bra028323","Bra018922","Bra008844","Bra004679","Bra020622","Bra027736","Bra015795,Bra015796","Bra034758,Bra034759","Bra039341","Bra014883","Bra006079","Bra040529","Bra012544","Bra020157","Bra017464","Bra009734","Bra008392,Bra008393","Bra000563","Bra013846","Bra019684","Bra035332","Bra015922","Bra022482","Bra000864","Bra021567","Bra034063","Bra022505","Bra018735","Bra012166","Bra036642","Bra004948","Bra033110","Bra010733","Bra025009","Bra001551","Bra004651","Bra034183","Bra007174","Bra039768","Bra035064","Bra030320","Bra013464","Bra019764","Bra000741","Bra026231"
"5","Bra004387","Bra035904","Bra013156","Bra039681","Bra012133","Bra024547","Bra000354","Bra002352","Bra030595","Bra031617","Bra033788","Bra024755,Bra024756","Bra024107","Bra038835",NA,"Bra025882,Bra025883,Bra025884,Bra025886","Bra037380","Bra020112","Bra009416","Bra017985","Bra020984","Bra027225","Bra012342","Bra008651","Bra024478","Bra036507","Bra034779","Bra024290,Bra024291,Bra024292,Bra024293,Bra024294","Bra017122","Bra011305","Bra016894","Bra018806","Bra007566,Bra007567","Bra001500","Bra010759","Bra004688","Bra009927","Bra015290","Bra011608","Bra016866","Bra014469","Bra011950","Bra003053","Bra022836","Bra025242,Bra025243"
"6","Bra032483","Bra011714","Bra019307","Bra001071","Bra004286","Bra028417","Bra021079","Bra012606","Bra008544","Bra030820","Bra017110","Bra032674","Bra005169","Bra004687",NA,"Bra002023","Bra015594","Bra023658","Bra027258","Bra005742","Bra008029","Bra037358","Bra027868","Bra030808","Bra036155","Bra011116",NA,"Bra032026",NA,"Bra000840","Bra026393","Bra008158","Bra021606","Bra008953","Bra022598","Bra028357","Bra015592","Bra005888","Bra005140","Bra029620","Bra014871","Bra031084,Bra031085","Bra004244",NA,"Bra019194"
"7","Bra006654","Bra016190","Bra029201,Bra029202","Bra006140","Bra024029","Bra032925","Bra026039","Bra023392","Bra040972","Bra037939","Bra008690","Bra012201","Bra007695","Bra028123",NA,"Bra001490","Bra020051","Bra022857","Bra023249","Bra008344","Bra032016,Bra032017","Bra028907","Bra039049","Bra015678","Bra002749","Bra017162",NA,"Bra013764",NA,"Bra003072","Bra032466","Bra025995","Bra010243","Bra025541","Bra003729","Bra013881,Bra013882,Bra013883","Bra011084","Bra020008","Bra012252","Bra005982","Bra030103","Bra028809","Bra006043",NA,"Bra028596"
"8","Bra024075","Bra019704","Bra012721,Bra012722","Bra016095","Bra039925","Bra036357","Bra037167,Bra037168","Bra024316","Bra001854","Bra013190","Bra033796","Bra025889","Bra005818","Bra022473",NA,"Bra002822","Bra037055","Bra010391","Bra037170","Bra011362","Bra029940","Bra030908","Bra029036","Bra017823","Bra013002",NA,NA,"Bra019795,Bra019796",NA,"Bra020400,Bra020401","Bra004438","Bra040573","Bra031784","Bra039799","Bra032137","Bra003196,Bra003197","Bra037554","Bra015721","Bra034873","Bra021898,Bra021899","Bra008877","Bra002665","Bra033329,Bra033330",NA,"Bra022310"
"9","Bra038658","Bra024214","Bra032669","Bra025461","Bra025725","Bra036758","Bra018920","Bra006290","Bra022212","Bra000591","Bra028603","Bra033368","Bra019616","Bra006094",NA,"Bra027057","Bra039499","Bra030817","Bra040652","Bra010085","Bra032169","Bra038555","Bra037933","Bra001857","Bra038842",NA,NA,NA,NA,"Bra019132,Bra019133","Bra000483","Bra005632","Bra007950","Bra016883","Bra005096","Bra000024","Bra004769,Bra004770","Bra022241,Bra022242","Bra027235,Bra027236","Bra019626","Bra023378","Bra036587","Bra033783",NA,"Bra011536"
"10","Bra027147","Bra035788","Bra000028",NA,"Bra030813,Bra030815","Bra017758,Bra017759","Bra011839","Bra014226","Bra017140","Bra035100","Bra025945","Bra004999","Bra006090","Bra017310",NA,"Bra015219",NA,"Bra025671",NA,"Bra013372","Bra007462","Bra027967,Bra027968","Bra009410","Bra040264","Bra003502",NA,NA,NA,NA,"Bra030285","Bra016617,Bra016618,Bra016619","Bra017475","Bra014529","Bra036601","Bra008933","Bra032394","Bra003675","Bra002574","Bra034602,Bra034603","Bra013069","Bra034108,Bra034109","Bra010681","Bra008842",NA,"Bra039483"
"11","Bra022618","Bra026248","Bra036908",NA,"Bra004998","Bra036239","Bra008476,Bra008477","Bra027654","Bra026032","Bra036447","Bra003055","Bra026305","Bra039786","Bra019150",NA,"Bra029392,Bra029393",NA,"Bra035269",NA,"Bra040547","Bra035172,Bra035173","Bra027468","Bra006710,Bra006711,Bra006712,Bra006713,Bra006714","Bra035813","Bra000342",NA,NA,NA,NA,"Bra022242","Bra040029","Bra028617","Bra038950","Bra008097","Bra036346","Bra013001","Bra028144","Bra022813","Bra022567","Bra035551","Bra018684","Bra017597","Bra037640,Bra037641",NA,"Bra011059"
"12","Bra035477","Bra007622",NA,NA,"Bra007608,Bra007609","Bra034268","Bra017907","Bra013191","Bra009589","Bra040819","Bra025452,Bra025453,Bra025454","Bra015511","Bra000038","Bra009970",NA,"Bra011735",NA,"Bra006555",NA,NA,"Bra014938","Bra031641","Bra033104","Bra005806","Bra029019",NA,NA,NA,NA,"Bra003618","Bra005064","Bra000488,Bra000489","Bra018740","Bra040053","Bra034611,Bra034612","Bra023982","Bra030764,Bra030765","Bra030873","Bra026420",NA,"Bra003636","Bra021171","Bra024300",NA,"Bra012620"
"13","Bra012539,Bra012540","Bra031983",NA,NA,"Bra025162","Bra005792","Bra020082","Bra028134","Bra005309","Bra031158","Bra008935","Bra033990","Bra022702","Bra039661",NA,"Bra033382",NA,"Bra005976",NA,NA,"Bra037430","Bra034989","Bra028870","Bra031686","Bra011920",NA,NA,NA,NA,"Bra006750","Bra005729","Bra029043","Bra028000","Bra013924","Bra001093","Bra011164","Bra022288",NA,"Bra035584",NA,"Bra000136","Bra010977","Bra006517",NA,"Bra022979"
"14","Bra022938","Bra002697",NA,NA,"Bra036001","Bra012303","Bra000294","Bra024302","Bra003715","Bra031191,Bra031192","Bra026290","Bra013213",NA,"Bra008710",NA,"Bra003677",NA,"Bra004879",NA,NA,"Bra013132",NA,"Bra036462","Bra030653","Bra027644",NA,NA,NA,NA,"Bra006879","Bra039986,Bra039987","Bra027626","Bra037439","Bra028689,tRNA-Leu","Bra001266","Bra038127","Bra003212",NA,"Bra021220",NA,"Bra019149","Bra005235","Bra017055",NA,"Bra001216"
"15","Bra039048","Bra023023",NA,NA,"Bra034561","Bra025887","Bra006622","Bra040041","Bra011422","Bra026028","Bra000063","Bra009338",NA,"Bra019181",NA,"Bra013584",NA,"Bra009578",NA,NA,"Bra024701",NA,"Bra033274","Bra032104","Bra036302",NA,NA,NA,NA,"Bra005275","Bra002346","Bra018458","Bra001373","Bra015753","Bra014802","Bra002191","Bra028898",NA,"Bra028777",NA,NA,"Bra019908",NA,NA,"Bra009680"
"16","Bra014348","Bra029902",NA,NA,"Bra040425,Bra040426","Bra033275,Bra033276","Bra009750","Bra022908","Bra011703","Bra022133","Bra034990","Bra011307",NA,"Bra033837",NA,"Bra037739",NA,"Bra031586",NA,NA,"Bra020759",NA,"Bra034697,tRNA-Gly","Bra017672","Bra019354",NA,NA,NA,NA,"Bra028539","Bra001542","Bra021961","Bra035486","Bra005338","Bra033919","Bra002877","Bra028789",NA,"Bra001183",NA,NA,"Bra004177,Bra004178",NA,NA,"Bra010510"
"17","Bra009015","Bra016337",NA,NA,"Bra029038","Bra022736","Bra011733","Bra029654","Bra017712","Bra029472,Bra029473","Bra004030","Bra030231",NA,"Bra036322",NA,NA,NA,"Bra022164",NA,NA,"Bra015257,Bra015258",NA,"Bra011228","Bra004108","Bra019693,Bra019694",NA,NA,NA,NA,"Bra018897","Bra003876,Bra003877","Bra003049","Bra023056,tRNA-Tyr","Bra009586","Bra025785","Bra013167","Bra022638",NA,"Bra007867",NA,NA,"Bra014757",NA,NA,"Bra024819,Bra024820,Bra024821"
"18","Bra000621","Bra003504",NA,NA,"Bra001951","Bra032518,Bra032519","Bra032284","Bra003597","Bra017769,Bra017770,Bra017771","Bra002322","Bra015070","Bra017209",NA,"Bra038949",NA,NA,NA,"Bra000460",NA,NA,"Bra026581",NA,"Bra020017","Bra036321","Bra009558",NA,NA,NA,NA,"Bra006794","Bra000827","Bra013744","Bra000256","Bra018111","Bra033987","Bra040403","Bra036142",NA,"Bra005290",NA,NA,"Bra007131",NA,NA,"Bra037191"
"19","Bra010566","Bra029697",NA,NA,"Bra009107,Bra009108","Bra032196","Bra012153","Bra009963","Bra039645","Bra013756","Bra006778","Bra029344",NA,"Bra001427",NA,NA,NA,"Bra007610",NA,NA,"Bra014689",NA,"Bra037006","Bra024199","Bra025089",NA,NA,NA,NA,"Bra004421","Bra017697","Bra025091,Bra025092","Bra005531","Bra012814","Bra004499",NA,"Bra024186,Bra024187",NA,"Bra000285",NA,NA,"Bra001516",NA,NA,"Bra040475"
"20","Bra007075","Bra032565",NA,NA,"Bra036194","Bra039175","Bra000901","Bra013025","Bra015762","Bra003603","Bra040442","Bra033949",NA,"Bra011500",NA,NA,NA,"Bra018573",NA,NA,"Bra030340",NA,"Bra005706","Bra034713","Bra034527",NA,NA,NA,NA,"Bra028549","Bra001942","Bra017053,Bra017054","Bra012076,Bra012077,Bra012079","Bra022271","Bra018548",NA,"Bra033224",NA,"Bra003845",NA,NA,"Bra027635",NA,NA,"Bra023432"
"21","Bra032589","Bra010855",NA,NA,"Bra003482","Bra022923","Bra020036","Bra001573","Bra009809","Bra039144","Bra018002","Bra003142",NA,"Bra008127",NA,NA,NA,"Bra001045",NA,NA,"Bra012637",NA,"Bra024163","Bra009896","Bra016046",NA,NA,NA,NA,"Bra010616","Bra016809","Bra025276",NA,"Bra023712","Bra016330",NA,"Bra020185",NA,NA,NA,NA,"Bra014766",NA,NA,"Bra029783"
"22","Bra004809","Bra017698",NA,NA,"Bra031802","Bra018695","Bra001645","Bra020883","Bra015564","Bra005677","Bra038089","Bra028844",NA,"Bra036834",NA,NA,NA,"Bra023365",NA,NA,"Bra008212,Bra008213",NA,"Bra039109","Bra032954,Bra032955","Bra010216",NA,NA,NA,NA,"Bra014656","Bra028559","Bra000808",NA,"Bra033672","Bra010270",NA,"Bra039678",NA,NA,NA,NA,"Bra033564,Bra033565",NA,NA,"Bra024615"
"23","Bra008749","Bra028011",NA,NA,"Bra037991","Bra026017,Bra026018","Bra015341","Bra036254","Bra011749","Bra019253,Bra019254","Bra024890","Bra041145",NA,"Bra016117",NA,NA,NA,"Bra037045",NA,NA,"Bra031745",NA,"Bra032199","Bra036721,Bra036722","Bra026351",NA,NA,NA,NA,"Bra026155","Bra009596","Bra008847",NA,"Bra000700","Bra035169,Bra035170",NA,"Bra038233",NA,NA,NA,NA,"Bra014340",NA,NA,"Bra011134"
"24","Bra034231","Bra009745",NA,NA,"Bra023597,Bra023599","Bra027792,Bra027793","Bra015668","Bra031740,Bra031741","Bra012865","Bra021529,Bra021530","Bra006454","Bra011777",NA,"Bra028520",NA,NA,NA,"Bra001196",NA,NA,"Bra001250",NA,"Bra039284","Bra017986","Bra014343",NA,NA,NA,NA,"Bra013053","Bra002181","Bra000883",NA,"Bra014351","Bra022060",NA,"Bra004397",NA,NA,NA,NA,"Bra017454",NA,NA,"Bra006660"
"25","Bra018090,Bra018091","Bra033526",NA,NA,"Bra029108","Bra020949","Bra009433","Bra031705","Bra038091,Bra038092","Bra012337","Bra004225","Bra035686",NA,"Bra029438",NA,NA,NA,"Bra010337",NA,NA,"Bra040776",NA,"Bra000749","Bra021650","Bra015715",NA,NA,NA,NA,"Bra040630","Bra030488","Bra040118",NA,"Bra037655","Bra008657",NA,"Bra022593",NA,NA,NA,NA,"Bra038621,Bra038622",NA,NA,"Bra012899"
"26","Bra035161","Bra003024",NA,NA,"Bra026969","Bra012364","Bra023418","Bra014467","Bra006813","Bra002038","Bra005603","Bra018859",NA,"Bra010416",NA,NA,NA,"Bra026770",NA,NA,"Bra021661",NA,"Bra012984,Bra012985","Bra002140","Bra016557",NA,NA,NA,NA,"Bra014696","Bra005498","Bra000122",NA,"Bra020137,Bra020138","Bra038644",NA,"Bra012203",NA,NA,NA,NA,"Bra036495",NA,NA,"Bra000240"
"27","Bra032166","Bra002265,Bra002266",NA,NA,"Bra015349","Bra027695","Bra032807,Bra032808","Bra033670","Bra001992","Bra002470","Bra025816","Bra037316",NA,"Bra013993",NA,NA,NA,"Bra027124",NA,NA,"Bra039713,Bra039714",NA,"Bra033709","Bra001745","Bra000885",NA,NA,NA,NA,"Bra017427,Bra017428","Bra035382","Bra011541",NA,"Bra001177",NA,NA,"Bra006351,Bra006352",NA,NA,NA,NA,"Bra027421,Bra027422",NA,NA,"Bra011047"
"28","Bra025469","Bra033053,Bra033054",NA,NA,"Bra007682","Bra004066","Bra004460","Bra030447,Bra030448","Bra003570","Bra014855","Bra007239","Bra027207",NA,"Bra021455",NA,NA,NA,"Bra000328",NA,NA,"Bra000550",NA,"Bra001802","Bra010956,Bra010957","Bra033973",NA,NA,NA,NA,"Bra006067","Bra035348","Bra005031",NA,"Bra001848",NA,NA,"Bra033757",NA,NA,NA,NA,"Bra014264",NA,NA,"Bra012083"
